-1000,107066.666667,786666.666667,786666.666667
-990,106766.666667,769433.333333,769433.333333
-980,106666.666667,752400.000000,752400.000000
-970,106766.666667,735566.666667,735566.666667
-960,107066.666667,718933.333333,718933.333333
-950,107566.666667,702500.000000,702500.000000
-940,108266.666667,686266.666667,686266.666667
-930,109166.666667,670233.333333,670233.333333
-920,110266.666667,654400.000000,654400.000000
-910,111566.666667,638766.666667,638766.666667
-900,113066.666667,623333.333333,623333.333333
-890,114766.666667,608100.000000,608100.000000
-880,116666.666667,593066.666667,593066.666667
-870,118766.666667,578233.333333,578233.333333
-860,121066.666667,563600.000000,563600.000000
-850,123566.666667,549166.666667,549166.666667
-840,126266.666667,534933.333333,534933.333333
-830,129166.666667,520900.000000,520900.000000
-820,132266.666667,507066.666667,507066.666667
-810,135566.666667,493433.333333,493433.333333
-800,139066.666667,480000.000000,480000.000000
-790,142766.666667,466766.666667,466766.666667
-780,146666.666667,453733.333333,453733.333333
-770,150766.666667,440900.000000,440900.000000
-760,155066.666667,428266.666667,428266.666667
-750,159566.666667,415833.333333,415833.333333
-740,164266.666667,403600.000000,403600.000000
-730,169166.666667,391566.666667,391566.666667
-720,174266.666667,379733.333333,379733.333333
-710,179566.666667,368100.000000,368100.000000
-700,185066.666667,356666.666667,356666.666667
-690,190766.666667,345433.333333,345433.333333
-680,196666.666667,334400.000000,334400.000000
-670,202766.666667,323566.666667,323566.666667
-660,209066.666667,312933.333333,312933.333333
-650,215566.666667,302500.000000,302500.000000
-640,222266.666667,292266.666667,292266.666667
-630,229166.666667,282233.333333,282233.333333
-620,236266.666667,272400.000000,272400.000000
-610,243566.666667,262766.666667,262766.666667
-600,251066.666667,253333.333333,253333.333333
-590,258766.666667,244100.000000,244100.000000
-580,266666.666667,235066.666667,235066.666667
-570,274766.666667,226233.333333,226233.333333
-560,283066.666667,217600.000000,217600.000000
-550,291566.666667,209166.666667,209166.666667
-540,300266.666667,200933.333333,200933.333333
-530,309166.666667,192900.000000,192900.000000
-520,318266.666667,185066.666667,185066.666667
-510,327566.666667,177433.333333,177433.333333
-500,337066.666667,170000.000000,170000.000000
-490,346766.666667,162766.666667,162766.666667
-480,356666.666667,155733.333333,155733.333333
-470,366766.666667,148900.000000,148900.000000
-460,377066.666667,142266.666667,142266.666667
-450,387566.666667,135833.333333,135833.333333
-440,398266.666667,129600.000000,129600.000000
-430,409166.666667,123566.666667,123566.666667
-420,420266.666667,117733.333333,117733.333333
-410,431566.666667,112100.000000,112100.000000
-400,443066.666667,106666.666667,106666.666667
-390,454766.666667,101433.333333,101433.333333
-380,466666.666667,96400.000000,96400.000000
-370,478766.666667,91566.666667,91566.666667
-360,491066.666667,86933.333333,86933.333333
-350,503566.666667,82500.000000,82500.000000
-340,516266.666667,78266.666667,78266.666667
-330,529166.666667,74233.333333,74233.333333
-320,542266.666667,70400.000000,70400.000000
-310,555566.666667,66766.666667,66766.666667
-300,569066.666667,63333.333333,63333.333333
-290,582766.666667,60100.000000,60100.000000
-280,596666.666667,57066.666667,57066.666667
-270,610766.666667,54233.333333,54233.333333
-260,625066.666667,51600.000000,51600.000000
-250,639566.666667,49166.666667,49166.666667
-240,654266.666667,46933.333333,46933.333333
-230,669166.666667,44900.000000,44900.000000
-220,684266.666667,43066.666667,43066.666667
-210,699566.666667,41433.333333,41433.333333
-200,715066.666667,40000.000000,40000.000000
-190,715033.333333,36100.000000,36100.000000
-180,715200.000000,32400.000000,32400.000000
-170,715566.666667,28900.000000,28900.000000
-160,716133.333333,25600.000000,25600.000000
-150,716900.000000,22500.000000,22500.000000
-140,717866.666667,19600.000000,19600.000000
-130,719033.333333,16900.000000,16900.000000
-120,720400.000000,14400.000000,14400.000000
-110,721966.666667,12100.000000,12100.000000
-100,723733.333333,10000.000000,10000.000000
-90,725700.000000,8100.000000,8100.000000
-80,727866.666667,6400.000000,6400.000000
-70,730233.333333,4900.000000,4900.000000
-60,732800.000000,3600.000000,3600.000000
-50,735566.666667,2500.000000,2500.000000
-40,738533.333333,1600.000000,1600.000000
-30,741700.000000,900.000000,900.000000
-20,745066.666667,400.000000,400.000000
-10,748633.333333,100.000000,100.000000
0,752400.000000,0.000000,0.000000
10,743300.000000,100.000000,100.000000
20,734400.000000,400.000000,400.000000
30,725700.000000,900.000000,900.000000
40,717200.000000,1600.000000,1600.000000
50,708900.000000,2500.000000,2500.000000
60,700800.000000,3600.000000,3600.000000
70,692900.000000,4900.000000,4900.000000
80,685200.000000,6400.000000,6400.000000
90,677700.000000,8100.000000,8100.000000
100,670400.000000,10000.000000,10000.000000
110,663300.000000,12100.000000,12100.000000
120,656400.000000,14400.000000,14400.000000
130,649700.000000,16900.000000,16900.000000
140,643200.000000,19600.000000,19600.000000
150,636900.000000,22500.000000,22500.000000
160,630800.000000,25600.000000,25600.000000
170,624900.000000,28900.000000,28900.000000
180,619200.000000,32400.000000,32400.000000
190,613700.000000,36100.000000,36100.000000
200,608400.000000,40000.000000,40000.000000
210,592900.000000,41433.333333,41433.333333
220,577600.000000,43066.666667,43066.666667
230,562500.000000,44900.000000,44900.000000
240,547600.000000,46933.333333,46933.333333
250,532900.000000,49166.666667,49166.666667
260,518400.000000,51600.000000,51600.000000
270,504100.000000,54233.333333,54233.333333
280,490000.000000,57066.666667,57066.666667
290,476100.000000,60100.000000,60100.000000
300,462400.000000,63333.333333,63333.333333
310,448900.000000,66766.666667,66766.666667
320,435600.000000,70400.000000,70400.000000
330,422500.000000,74233.333333,74233.333333
340,409600.000000,78266.666667,78266.666667
350,396900.000000,82500.000000,82500.000000
360,384400.000000,86933.333333,86933.333333
370,372100.000000,91566.666667,91566.666667
380,360000.000000,96400.000000,96400.000000
390,348100.000000,101433.333333,101433.333333
400,336400.000000,106666.666667,106666.666667
410,324900.000000,112100.000000,112100.000000
420,313600.000000,117733.333333,117733.333333
430,302500.000000,123566.666667,123566.666667
440,291600.000000,129600.000000,129600.000000
450,280900.000000,135833.333333,135833.333333
460,270400.000000,142266.666667,142266.666667
470,260100.000000,148900.000000,148900.000000
480,250000.000000,155733.333333,155733.333333
490,240100.000000,162766.666667,162766.666667
500,230400.000000,170000.000000,170000.000000
510,220900.000000,177433.333333,177433.333333
520,211600.000000,185066.666667,185066.666667
530,202500.000000,192900.000000,192900.000000
540,193600.000000,200933.333333,200933.333333
550,184900.000000,209166.666667,209166.666667
560,176400.000000,217600.000000,217600.000000
570,168100.000000,226233.333333,226233.333333
580,160000.000000,235066.666667,235066.666667
590,152100.000000,244100.000000,244100.000000
600,144400.000000,253333.333333,253333.333333
610,136900.000000,262766.666667,262766.666667
620,129600.000000,272400.000000,272400.000000
630,122500.000000,282233.333333,282233.333333
640,115600.000000,292266.666667,292266.666667
650,108900.000000,302500.000000,302500.000000
660,102400.000000,312933.333333,312933.333333
670,96100.000000,323566.666667,323566.666667
680,90000.000000,334400.000000,334400.000000
690,84100.000000,345433.333333,345433.333333
700,78400.000000,356666.666667,356666.666667
710,72900.000000,368100.000000,368100.000000
720,67600.000000,379733.333333,379733.333333
730,62500.000000,391566.666667,391566.666667
740,57600.000000,403600.000000,403600.000000
750,52900.000000,415833.333333,415833.333333
760,48400.000000,428266.666667,428266.666667
770,44100.000000,440900.000000,440900.000000
780,40000.000000,453733.333333,453733.333333
790,36100.000000,466766.666667,466766.666667
800,32400.000000,480000.000000,480000.000000
810,28900.000000,493433.333333,493433.333333
820,25600.000000,507066.666667,507066.666667
830,22500.000000,520900.000000,520900.000000
840,19600.000000,534933.333333,534933.333333
850,16900.000000,549166.666667,549166.666667
860,14400.000000,563600.000000,563600.000000
870,12100.000000,578233.333333,578233.333333
880,10000.000000,593066.666667,593066.666667
890,8100.000000,608100.000000,608100.000000
900,6400.000000,623333.333333,623333.333333
910,4900.000000,638766.666667,638766.666667
920,3600.000000,654400.000000,654400.000000
930,2500.000000,670233.333333,670233.333333
940,1600.000000,686266.666667,686266.666667
950,900.000000,702500.000000,702500.000000
960,400.000000,718933.333333,718933.333333
970,100.000000,735566.666667,735566.666667
980,0.000000,752400.000000,752400.000000
990,100.000000,769433.333333,769433.333333
1000,400.000000,786666.666667,786666.666667
